"MeanNumOfMatches/MeanTimeOfMatches","Shi-Tomasi","Harris","FAST","BRISK","ORB","AKAZE","SIFT"
"BRISK","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"BRIEF","10.219432680458059","3.753750769850121","72.05133835798559","0.95594366665709","1.479238513219619","2.3148387727229878","0.7659338426198168"
"ORB","8.194422427353764","3.3137926868571954","59.99184938322174","0.6367296585154557","3.891468978335782","1.7885453843738575","NAN"
"FREAK","2.346508809197376","1.1262569731731222","8.700606240546694","0.6801898736207215","1.3519266413296638","1.2421755877302036","0.4702394282829031"
"AKAZE","NAN","NAN","NAN","NAN","NAN","1.19257519325265","NAN"
"SIFT","5.583477460233309","2.594748989172285","13.78974995836299","0.8361205533154997","1.9458232000774849","1.940320422588027","0.6590008820985963"
