"MeanTimeOfMatches(ms)","Shi-Tomasi","Harris","FAST","BRISK","ORB","AKAZE","SIFT"
"BRISK","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"BRIEF","8.806751100000003","9.0576072","3.4281112","160.05127220000003","33.801175099999995","52.27145900000001","87.47491790000001"
"ORB","10.250874999999999","10.561916","3.8671919999999993","163.334625","14.647425000000002","57.588698","NAN"
"FREAK","27.274562000000003","26.636904999999995","20.34341","180.83186","28.108034000000004","86.94423","119.08827"
"AKAZE","NAN","NAN","NAN","NAN","NAN","108.16927999999999","NAN"
"SIFT","18.447284999999997","17.342718","22.407947999999998","220.06396","43.683311","72.66841","135.05293000000003"
